from,to,time (ms),mem (kb),order_min,order_max,order_median,size_min,size_max,size_median,density_min,density_max,density_median
18912,18922,26830,2368736,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
18922,18932,26270,2368736,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
18932,18942,26420,2367592,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
18942,18952,26050,2369248,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
18952,18962,26630,2368224,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
18962,18972,26470,2369040,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
18972,18982,25770,2367456,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
18982,18992,26910,2366940,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
18992,19002,25920,2368224,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19002,19012,25590,2368736,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19012,19022,25860,2368224,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19022,19032,26590,2369248,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19032,19042,26450,2367712,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19042,19052,25920,2367712,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19052,19062,25990,2368480,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19062,19072,25840,2368224,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19072,19082,25990,2368736,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19082,19092,26780,2368224,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19092,19102,25600,2368736,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19102,19112,26510,2367200,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19112,19122,26060,2367968,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19122,19132,26390,2369248,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19132,19142,26680,2367712,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19142,19152,26570,2367968,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19152,19162,26510,2369760,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19162,19172,26250,2368480,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19172,19182,26530,2370524,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19182,19192,26540,2367968,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19192,19202,25830,2367712,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19202,19212,26510,2366688,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19212,19222,25440,2366120,24,92,92.0,138,138,138.0,0.03296703296703297,0.5,0.03296703296703297
19222,19232,25800,2367968,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19232,19242,25870,2367968,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19242,19252,25560,2368736,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19252,19262,26150,2368996,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19262,19272,25890,2366432,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19272,19282,26400,2368224,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19282,19292,26710,2369504,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19292,19302,26350,2367712,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19302,19312,26000,2369248,92,92,92.0,138,138,138.0,0.03296703296703297,0.03296703296703297,0.03296703296703297
19312,19322,21710,2347232,28,94,50.0,138,141,140.0,0.03225806451612903,0.37037037037037035,0.1292916123424598
19322,19332,26120,2377696,26,96,94.0,141,144,141.0,0.031578947368421054,0.44,0.03225806451612903
19332,19342,28000,2388156,96,96,96.0,144,144,144.0,0.031578947368421054,0.031578947368421054,0.031578947368421054
19342,19352,26280,2380768,24,96,96.0,144,144,144.0,0.031578947368421054,0.5217391304347826,0.031578947368421054
19352,19362,27790,2388040,96,96,96.0,144,144,144.0,0.031578947368421054,0.031578947368421054,0.031578947368421054
19362,19372,26920,2388704,96,96,96.0,144,144,144.0,0.031578947368421054,0.031578947368421054,0.031578947368421054
19372,19382,25830,2384096,32,96,96.0,144,144,144.0,0.031578947368421054,0.2903225806451613,0.031578947368421054
19382,19392,27320,2385376,24,96,96.0,144,144,144.0,0.031578947368421054,0.5217391304347826,0.031578947368421054
19392,19402,27350,2386912,96,96,96.0,144,144,144.0,0.031578947368421054,0.031578947368421054,0.031578947368421054
19402,19412,27910,2388448,96,96,96.0,144,144,144.0,0.031578947368421054,0.031578947368421054,0.031578947368421054
19412,19422,23130,2364896,18,96,66.0,144,144,144.0,0.031578947368421054,0.9411764705882353,0.13007518796992482
19422,19432,26140,2384864,24,96,96.0,144,144,144.0,0.031578947368421054,0.5217391304347826,0.031578947368421054
19432,19442,26710,2386656,21,98,98.0,144,147,147.0,0.030927835051546393,0.7,0.030927835051546393
19442,19452,28080,2398432,24,124,98.0,147,150,147.0,0.01940729084710202,0.5434782608695652,0.030927835051546393
19452,19462,28580,2403808,30,100,100.0,150,150,150.0,0.030303030303030304,0.3448275862068966,0.030303030303030304
19462,19472,27820,2399712,30,100,100.0,150,150,150.0,0.030303030303030304,0.3448275862068966,0.030303030303030304
19472,19482,25840,2400736,30,100,96.0,150,150,150.0,0.030303030303030304,0.3448275862068966,0.033068380894467855
19482,19492,27700,2406880,20,102,102.0,150,153,153.0,0.0297029702970297,0.7894736842105263,0.0297029702970297
19492,19502,26590,2406876,18,102,102.0,153,155,153.0,0.0297029702970297,1.0,0.0297029702970297
